Real News,Mean, ,Absolute Mean, ,Median, ,Absolute Median, 
,Num_Articles,Subjectivity,Polarity,Subjectivity,Polarity,Subjectivity,Polarity,Subjectivity,Polarity
COUNTERCURRENTNEWS,222,0.40360789642476275,0.02961976450129945,0.40360789642476275,0.06303281107114786,0.4065302111269853,0.03580072031553205,0.4065302111269853,0.05392490926581836
ABELDANGER-NET,6,0.45039171683655627,-0.00015795718795209163,0.45039171683655627,0.04789779799230901,0.46662026369687665,0.00136216056670602,0.46662026369687665,0.0374609448522492
ABOVETOPSECRET-COM,61,0.48738539350082644,0.05282383765390512,0.48738539350082644,0.11948754182483216,0.4841374269005848,0.07441077441077441,0.4841374269005848,0.08576839826839827
AHTRIBUNE-COM,52,0.3897107054119883,0.05974748078012978,0.3897107054119883,0.07043092942263957,0.38047006721348825,0.04149596663499101,0.38047006721348825,0.06264480646059593
AMREN-COM,40,0.38573802037598626,0.042879397791290345,0.38573802037598626,0.08068869728729121,0.3784207459207459,0.03713120213120213,0.3784207459207459,0.06203125
AMTVMEDIA-COM,49,0.3482096991596294,0.04342145594162324,0.3482096991596294,0.06635892523768484,0.34534126984126984,0.048039215686274506,0.34534126984126984,0.05343915343915344
ANONHQ-COM,14,0.4291060489735428,0.09778448783268971,0.4291060489735428,0.10815863749255364,0.4442600108225109,0.08538250148544266,0.4442600108225109,0.08630952380952381
ANTIWAR-COM,78,0.39420772801952314,0.03388432820175319,0.39420772801952314,0.06286212397804443,0.39036458333333335,0.03421143250688705,0.39036458333333335,0.04720665445665445
AWDNEWS-COM,59,0.4294956096674113,0.04529712428332628,0.4294956096674113,0.08982560101905061,0.4715016708437762,0.0625,0.4715016708437762,0.075
BARENAKEDISLAM-COM,39,0.4367725807159714,0.051941892513249675,0.4367725807159714,0.10493470937436489,0.39583333333333337,0.05714285714285714,0.39583333333333337,0.07370129870129871
BEFOREITSNEWS-COM,6,0.36512550296782004,0.09653423936186491,0.36512550296782004,0.09653423936186491,0.3559212533498248,0.09379643310073829,0.3559212533498248,0.09379643310073829
BLACKAGENDAREPORT-COM,36,0.39117199643461104,0.030144226756682085,0.39117199643461104,0.04327168753819857,0.3916069173881674,0.030896176291584455,0.3916069173881674,0.04259882957512011
BLACKLISTEDNEWS-COM,35,0.39549194181226915,0.04599359183224574,0.39549194181226915,0.05742690936831843,0.39420995670995673,0.045907925407925425,0.39420995670995673,0.049148287609826063
